generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name,run2_status
gen-1773136910-lQ85bTkkJ2tPFeeUoraI,3/10/2026 10:01,0.000083,,,,0,94,40,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,698,613,Github,mud_parser_1_classifier,classifier
gen-1773136908-nGMni78EL5xIXbrt4K1l,3/10/2026 10:01,0.002464,,,,0,504,113,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2270,1757,Github,mud_parser_1,discard
gen-1773136906-fQEwKO8TEiPAqwU31b9w,3/10/2026 10:01,0.002152,,,,0,502,91,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1623,1445,Github,mud_parser_1,discard
gen-1773136905-Pc9li6WH1XUv7kvbgDrg,3/10/2026 10:01,0.00009,,,,0,108,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,1075,933,Github,mud_parser_1_classifier,classifier
gen-1773136903-6OquaaCYMdblYMMPuYCc,3/10/2026 10:01,0.002406,,,,0,487,111,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1676,1151,Github,mud_parser_1,discard
gen-1773136901-Grs1Y6OqicpA8XnW0XXQ,3/10/2026 10:01,0.002164,,,,0,461,97,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1766,1399,Github,mud_parser_1,discard
gen-1773136900-SN5Fg7R753m0Aja9RPsu,3/10/2026 10:01,0.01328,,,,0,568,1012,979,0,google/gemini-3.1-pro-preview-20260219,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,12523,3774,Github,mud_parser_3,discard
gen-1773136899-gSH6rNuMHEf1Fp4YNg9d,3/10/2026 10:01,0.002581,,,,0,443,129,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2188,2043,Github,mud_parser_1,discard
gen-1773136897-1c89BB7Dzulb6oV2rfpc,3/10/2026 10:01,0.001879,,,,0,426,81,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1588,1462,Github,mud_parser_1,discard
gen-1773136896-5ZAlm7RXLS1WqZViC6P1,3/10/2026 10:01,0.001583,,,,0,361,68,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1555,1414,Github,mud_parser_1,discard
gen-1773136894-ccB5JC4xal8IbLbSyiPq,3/10/2026 10:01,0.001541,,,,0,345,67,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1187,1139,Github,mud_parser_1,discard
gen-1773136893-hglTkMqSAGIdAJYYEnJ7,3/10/2026 10:01,0.001221,,,,0,274,53,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1207,1059,Github,mud_parser_1,discard
gen-1773136891-orYJWk0q3WvRGwyTee7u,3/10/2026 10:01,0.002303,,,,0,604,89,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1816,1671,Github,mud_parser_1,discard
gen-1773136889-TS2mfFU8KT46Oh1eian9,3/10/2026 10:01,0.002247,,,,0,620,83,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1686,1519,Github,mud_parser_1,discard
gen-1773136887-AIW3UKrfOOw3jaA1l3OS,3/10/2026 10:01,0.002317,,,,0,596,91,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1861,1736,Github,mud_parser_1,discard
gen-1773136885-0len3UklXpm9c7pnD1g0,3/10/2026 10:01,0.002271,,,,0,610,86,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1564,1418,Github,mud_parser_1,discard
gen-1773136885-bDVsCwv9zYJh3smUgGOp,3/10/2026 10:01,0.00009,,,,0,110,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,762,682,Github,mud_parser_1_classifier,classifier
gen-1773136882-IkdgffOrjW5eDOiIOdQe,3/10/2026 10:01,0.002373,,,,0,588,96,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2041,1519,Github,mud_parser_1,discard
gen-1773136879-YtmWBaX3hSnms4zz60hY,3/10/2026 10:01,0.0033,,,,0,630,157,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2761,2293,Github,mud_parser_1,discard
gen-1773136879-dyizZOFGxWAoXYkvPFqT,3/10/2026 10:01,0.000091,,,,0,113,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,698,624,Github,mud_parser_1_classifier,classifier
gen-1773136877-wT6dFsww2YYqX3BRVDnc,3/10/2026 10:01,0.013368,,,,0,564,1020,981,0,google/gemini-3.1-pro-preview-20260219,Google AI Studio,standard,FALSE,TRUE,,MAX_TOKENS,length,12484,3669,Github,mud_parser_3,discard
gen-1773136876-OHzemDPrXtiBA0HA4NVY,3/10/2026 10:01,0.003456,,,,0,591,173,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2831,2133,Github,mud_parser_1,discard
gen-1773136875-CjZCwu8kFjuvftUShmQ8,3/10/2026 10:01,0.000088,,,,0,102,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,609,489,Github,mud_parser_1_classifier,classifier
gen-1773136872-CG5Bh8ukMRmJNZDyMJ8X,3/10/2026 10:01,0.003997,,,,0,588,212,128,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,3162,2863,Github,mud_parser_1,discard
gen-1773136869-W3LOJr46OJogB8FphXH0,3/10/2026 10:01,0.002966,,,,0,583,139,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2440,2313,Github,mud_parser_1,discard
gen-1773136869-PvYQN7E8UZ9mj5ayj2mM,3/10/2026 10:01,0.000081,,,,0,91,39,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,632,526,Github,mud_parser_1_classifier,classifier
gen-1773136866-oaQz9kqugRCxaKmnBnSc,3/10/2026 10:01,0.003321,,,,0,546,169,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2887,2379,Github,mud_parser_1,discard
gen-1773136864-PAIAOXJlaEzttd3dxGA5,3/10/2026 10:01,0.001911,,,,0,564,66,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1289,1129,Github,mud_parser_1,discard
gen-1773136864-6XzbgaxoVFXtDj6q5CjS,3/10/2026 10:01,0.01336,,,,0,560,1020,980,0,google/gemini-3.1-pro-preview-20260219,Google,standard,FALSE,TRUE,,MAX_TOKENS,length,11940,3139,Github,mud_parser_3,discard
gen-1773136863-rDHschsK64kx51aeXx35,3/10/2026 10:01,0.00009,,,,0,110,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,915,774,Github,mud_parser_1_classifier,classifier
gen-1773136861-OPQd52TGD2YWlzLBaanO,3/10/2026 10:01,0.002602,,,,0,543,118,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1923,1326,Github,mud_parser_1,discard
gen-1773136979-xDBO2KaQRRIiQtOM0r76,3/10/2026 10:02,0.003277,,,,0,641,154,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2626,2110,Github,mud_parser_1,discard
gen-1773136978-j9pVSkNuAMJThIo1PDsq,3/10/2026 10:02,0.000086,,,,0,99,41,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,700,583,Github,mud_parser_1_classifier,classifier
gen-1773136976-xrgd66mMjDEHfqSto5z4,3/10/2026 10:02,0.009228,,,,0,606,668,631,0,google/gemini-3.1-pro-preview-20260219,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,7998,2901,Github,mud_parser_3,discard
gen-1773136976-sft19EYPOEnrDVLsVNgQ,3/10/2026 10:02,0.002548,,,,0,640,102,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2134,1725,Github,mud_parser_1,discard
gen-1773136975-Tj9ezLcaahrPBj7dhTtf,3/10/2026 10:02,0.000091,,,,0,114,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,870,732,Github,mud_parser_1_classifier,classifier
gen-1773136971-7C11Gt3TgmIFH4yPJPLN,3/10/2026 10:02,0.003442,,,,0,575,174,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,4134,3376,Github,mud_parser_1,discard
gen-1773136969-dbsOhM3sd1gp4awolAg3,3/10/2026 10:02,0.002287,,,,0,571,92,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1941,1678,Github,mud_parser_1,discard
gen-1773136968-yPk1eCjQNb0Yx3fC7qhi,3/10/2026 10:02,0.000091,,,,0,113,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,863,722,Github,mud_parser_1_classifier,classifier
gen-1773136967-CBqMwDTIo2ceFP1v6TZD,3/10/2026 10:02,0.006706,,,0,0,498,2543,2498,0,deepseek/deepseek-r1,Novita,standard,FALSE,TRUE,,stop,stop,69881,1337,Github,mud_parser_2,discard
gen-1773136965-J4jKbnDLaZflplShl36Z,3/10/2026 10:02,0.002842,,,,0,536,136,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2430,2186,Github,mud_parser_1,discard
gen-1773136964-nFmDeRRruWafgInVv6B2,3/10/2026 10:02,0.000091,,,,0,112,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,619,572,Github,mud_parser_1_classifier,classifier
gen-1773136963-UsHrGN1zA4Kjwbxxt1oE,3/10/2026 10:02,0.002394,,,,0,528,105,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1657,1043,Github,mud_parser_1,discard
gen-1773136960-PaMTwcQrpfn1M9OoQdcG,3/10/2026 10:02,0.002728,,,,0,519,130,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2105,1612,Github,mud_parser_1,discard
gen-1773136960-j7ZydWKitIs2PLxLem1M,3/10/2026 10:02,0.007718,,,,0,601,543,512,0,google/gemini-3.1-pro-preview-20260219,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,5914,2519,Github,mud_parser_3,discard
gen-1773136958-iARz83s4z5LbTmECH1Yq,3/10/2026 10:02,0.0026,,,,0,534,119,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2490,2185,Github,mud_parser_1,discard
gen-1773136956-c3kLVVfjqRcMDUrGdpJp,3/10/2026 10:02,0.002252,,,,0,599,86,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1634,1494,Github,mud_parser_1,discard
gen-1773136953-4Dye8xHQufMXUBRB2JYb,3/10/2026 10:02,0.002112,,,,0,615,74,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2698,1247,Github,mud_parser_1,discard
gen-1773136952-n1WYQXtQRWwRJXsBMFbP,3/10/2026 10:02,0.007756,,,,0,596,547,513,0,google/gemini-3.1-pro-preview-20260219,Google,standard,FALSE,TRUE,,STOP,stop,8047,3382,Github,mud_parser_3,discard
gen-1773136951-FufTQQb94Yy20L7wFN3F,3/10/2026 10:02,0.003043,,,,0,627,139,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2434,2268,Github,mud_parser_1,discard
gen-1773136950-aJlwgqHhjVRU4QM3d5P3,3/10/2026 10:02,0.000084,,,,0,98,40,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,779,686,Github,mud_parser_1_classifier,classifier
gen-1773136946-UiqfI3uRZetLhhpwUMxJ,3/10/2026 10:02,0.003659,,,,0,571,190,128,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,3437,2922,Github,mud_parser_1,discard
gen-1773136944-8MetpfuVdo8CBYzOAplL,3/10/2026 10:02,0.002409,,,,0,593,98,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2134,1989,Github,mud_parser_1,discard
gen-1773136943-FYGgbq4boto3CjFW1Flv,3/10/2026 10:02,0.000087,,,,0,96,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,792,681,Github,mud_parser_1_classifier,classifier
gen-1773136941-BwjtbzV57qKcvpLkH1Kj,3/10/2026 10:02,0.002812,,,,0,535,134,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2376,1746,Github,mud_parser_1,discard
gen-1773136940-l7ySOPDBZQ7C8VPYJDGd,3/10/2026 10:02,0.000087,,,,0,97,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,836,787,Github,mud_parser_1_classifier,classifier
gen-1773136938-7agmSV30AJnKcc4rnkyW,3/10/2026 10:02,0.002332,,,,0,517,102,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1663,981,Github,mud_parser_1,discard
gen-1773136936-KNKS6N7YiNi1Yh5vS7Bl,3/10/2026 10:02,0.0027,,,,0,551,124,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2256,1743,Github,mud_parser_1,discard
gen-1773136935-8RRNfiA3nq7921Hmvres,3/10/2026 10:02,0.006684,,,,0,600,457,429,0,google/gemini-3.1-pro-preview-20260219,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,5795,3700,Github,mud_parser_3,discard
gen-1773136934-8ermlYEzdbNa89gPgDvG,3/10/2026 10:02,0.001643,,,,0,547,49,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1133,937,Github,mud_parser_1,discard
gen-1773136933-q30pstK3onB9IwLy1KdX,3/10/2026 10:02,0.001727,,,,0,563,53,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1206,1080,Github,mud_parser_1,discard
gen-1773136931-6T2Cnj67gFOUy9CdKPBw,3/10/2026 10:02,0.002108,,,,0,549,82,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1613,1460,Github,mud_parser_1,discard
gen-1773136930-wdJUlh3KdvHnu6B6581H,3/10/2026 10:02,0.001715,,,,0,596,48,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1086,863,Github,mud_parser_1,discard
gen-1773136928-7tus8SPSif84KJgoVZaB,3/10/2026 10:02,0.000089,,,,0,110,41,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,2307,2196,Github,mud_parser_1_classifier,classifier
gen-1773136926-tjXSwVzaOjZvQ2NFeCuq,3/10/2026 10:02,0.0026,,,,0,550,117,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2194,1736,Github,mud_parser_1,discard
gen-1773136924-mCvlYzQxb9FPKFpUjpah,3/10/2026 10:02,0.010268,,,,0,550,764,739,0,google/gemini-3.1-pro-preview-20260219,Google,standard,FALSE,TRUE,,STOP,stop,11251,3178,Github,mud_parser_3,discard
